team	stats	rankings	value
West Virginia	Stat	Rank	Value
West Virginia	Total Offense	12	499.8
West Virginia	Rushing Offense	43	182.8
West Virginia	Passing Offense	9	317.0
West Virginia	Team Passing Efficiency	33	140.82
West Virginia	Scoring Offense	T-34	33.5
West Virginia	Total Defense	66	399.4
West Virginia	Rushing Defense	63	168.2
West Virginia	Passing Yards Allowed	71	231.2
West Virginia	Team Passing Efficiency Defense	28	116.24
West Virginia	Scoring Defense	72	27.6
West Virginia	Turnover Margin	119	-1.15
West Virginia	3rd Down Conversion Pct	45	0.424
West Virginia	4th Down Conversion Pct	86	0.455
West Virginia	3rd Down Conversion Pct Defense	9	0.314
West Virginia	4th Down Conversion Pct Defense	12	0.304
West Virginia	Red Zone Offense	T-83	0.800
West Virginia	Red Zone Defense	85	0.854
West Virginia	Net Punting	72	37.04
West Virginia	Punt Returns	124	3.00
West Virginia	Kickoff Returns	16	23.93
West Virginia	First Downs Offense	11	337
West Virginia	First Downs Defense	55	257
West Virginia	Fewest Penalties Per Game	93	6.54
West Virginia	Fewest Penalty Yards Per Game	88	58.23
West Virginia	Time of Possession	59	   29:52
UTSA	Stat	Rank	Value
UTSA	Total Offense	119	297.5
UTSA	Rushing Offense	107	122.2
UTSA	Passing Offense	108	175.3
UTSA	Team Passing Efficiency	116	106.41
UTSA	Scoring Offense	T-118	17.1
UTSA	Total Defense	43	369.7
UTSA	Rushing Defense	32	140.2
UTSA	Passing Yards Allowed	65	229.5
UTSA	Team Passing Efficiency Defense	72	129.90
UTSA	Scoring Defense	54	25.9
UTSA	Turnover Margin	85	-0.25
UTSA	3rd Down Conversion Pct	124	0.282
UTSA	4th Down Conversion Pct	T-21	0.625
UTSA	3rd Down Conversion Pct Defense	94	0.429
UTSA	4th Down Conversion Pct Defense	20	0.364
UTSA	Red Zone Offense	76	0.813
UTSA	Red Zone Defense	T-62	0.829
UTSA	Net Punting	27	39.33
UTSA	Punt Returns	113	4.52
UTSA	Kickoff Returns	57	21.34
UTSA	First Downs Offense	115	200
UTSA	First Downs Defense	28	238
UTSA	Fewest Penalties Per Game	102	7.08
UTSA	Fewest Penalty Yards Per Game	108	65.75
UTSA	Time of Possession	66	   29:39
Southern Miss.	Stat	Rank	Value
Southern Miss.	Total Offense	97	365.0
Southern Miss.	Rushing Offense	121	95.8
Southern Miss.	Passing Offense	33	269.3
Southern Miss.	Team Passing Efficiency	94	117.14
Southern Miss.	Scoring Offense	114	19.0
Southern Miss.	Total Defense	104	451.4
Southern Miss.	Rushing Defense	110	216.3
Southern Miss.	Passing Yards Allowed	81	235.1
Southern Miss.	Team Passing Efficiency Defense	110	145.97
Southern Miss.	Scoring Defense	109	35.4
Southern Miss.	Turnover Margin	T-112	-0.83
Southern Miss.	3rd Down Conversion Pct	103	0.346
Southern Miss.	4th Down Conversion Pct	122	0.231
Southern Miss.	3rd Down Conversion Pct Defense	107	0.444
Southern Miss.	4th Down Conversion Pct Defense	T-90	0.600
Southern Miss.	Red Zone Offense	T-98	0.769
Southern Miss.	Red Zone Defense	28	0.774
Southern Miss.	Net Punting	80	36.46
Southern Miss.	Punt Returns	45	8.94
Southern Miss.	Kickoff Returns	37	22.32
Southern Miss.	First Downs Offense	T-82	249
Southern Miss.	First Downs Defense	T-85	279
Southern Miss.	Fewest Penalties Per Game	85	6.42
Southern Miss.	Fewest Penalty Yards Per Game	99	60.92
Southern Miss.	Time of Possession	73	   29:25
SMU	Stat	Rank	Value
SMU	Total Offense	124	269.0
SMU	Rushing Offense	118	100.3
SMU	Passing Offense	112	168.7
SMU	Team Passing Efficiency	125	91.12
SMU	Scoring Offense	125	11.1
SMU	Total Defense	119	499.4
SMU	Rushing Defense	114	235.8
SMU	Passing Yards Allowed	106	263.7
SMU	Team Passing Efficiency Defense	121	157.38
SMU	Scoring Defense	124	41.3
