team	win	losses
West Virginia	8	5
UTSA	3	9
Southern Miss.	9	5
SMU	2	10
La.-Monroe	2	11
North Texas	1	11
North Carolina St.	7	6
Temple	10	4
Appalachian St.	11	2
Texas A&M	8	5
Tennessee	9	4
TCU	11	2
Arizona St.	6	7
Arizona	7	6
Houston	13	1
Memphis	9	4
Massachusetts	3	9
Alabama	14	1
Tulsa	6	7
Tulane	3	9
Stanford	12	2
Troy	4	8
Texas St.	3	9
UL Lafayette	4	8
South Fla.	8	5
UCF	0	12
Central Mich.	7	6
Rice	5	7
Vanderbilt	4	8
Baylor	10	3
Miami (OH)	3	9
Miami (FL)	8	5
Michigan St.	12	2
Idaho	4	8
Michigan	10	3
Middle Tenn.	7	6
Penn St.	7	6
Toledo	10	2
Western Mich.	8	5
UTEP	5	7
Iowa	12	2
Iowa St.	3	9
East Carolina	5	7
Texas Tech	7	6
Duke	8	5
Texas	5	7
Maryland	3	9
UCLA	8	5
Hawaii	3	10
Buffalo	5	7
Wisconsin	10	3
Minnesota	6	7
Oklahoma St.	10	3
Oklahoma	11	2
Old Dominion	5	7
Louisiana Tech	9	4
Louisville	8	5
LSU	9	3
Oregon St.	2	10
Oregon	9	4
Rutgers	4	8
Illinois	5	7
Indiana	6	7
Marshall	10	3
California	8	5
Arkansas	8	5
Auburn	7	6
Ohio	8	5
Ohio St.	12	1
South Ala.	5	7
South Carolina	3	9
Notre Dame	10	3
Ole Miss	10	3
Mississippi St.	9	4
Charlotte	2	10
San Diego St.	11	3
Kentucky	5	7
Kent St.	3	9
North Carolina	11	3
Boise St.	9	4
Boston College	3	9
Ga. Southern	9	4
Georgia	10	3
Georgia St.	6	7
Georgia Tech	3	9
Virginia	4	8
Utah St.	6	7
Southern California	8	6
Utah	10	3
Northwestern	10	3
Northern Ill.	8	6
San Jose St.	6	7
Washington	7	6
Washington St.	9	4
UNLV	3	9
Nevada	7	6
Pittsburgh	8	5
Nebraska	6	7
Fla. Atlantic	3	9
Wyoming	2	10
UConn	6	7
Fresno St.	3	9
Navy	11	2
Army West Point	2	10
Air Force	8	6
Virginia Tech	7	6
Purdue	2	10
Colorado	4	9
Colorado St.	7	6
Wake Forest	3	9
Florida St.	10	3
Florida	10	4
FIU	5	7
Ball St.	3	9
Akron	8	5
Kansas St.	6	7
Kansas	0	12
Clemson	14	1
Eastern Mich.	1	11
Cincinnati	7	6
Western Ky.	12	2
BYU	9	4
Bowling Green	10	4
Missouri	5	7
New Mexico St.	3	9
New Mexico	7	6
Syracuse	4	8
